Nom de l'�tablissement,Note,Nombre d'avis,Cat�gorie,Adresse / r�sum�,Ville (d�duite de l'URL),Activit� (d�duite de l'URL),URL de recherche,URL Google Maps
Résidence Le Domaine de Saint Orens,4.4,,Résidence Le Domaine de Saint Orens,,etablissement wellness Aurensan,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurensan%2BFrance/,https://www.google.com/maps/place/R%C3%A9sidence+Le+Domaine+de+Saint+Orens/data=!4m10!3m9!1s0x12aa109bbc828a77:0x5288be9f48dc1d4f!5m2!4m1!1i2!8m2!3d43.950349!4d0.2105911!16s%2Fg%2F1tjzmrtr!19sChIJd4qCvJsQqhIRTx3cSJ--iFI?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Domaine de Sarraute,4.5,,Domaine de Sarraute,,etablissement wellness Aurensan,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurensan%2BFrance/,https://www.google.com/maps/place/Domaine+de+Sarraute/data=!4m10!3m9!1s0xd5607d5d7558077:0xafbacc3ad4524800!5m2!4m1!1i2!8m2!3d43.7569333!4d-0.1483658!16s%2Fg%2F11c1wvhv8r!19sChIJd4BV19UHVg0RAEhS1DrMuq8?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Hôtel Minvielle Les Oliviers,4.7,,Hôtel Minvielle Les Oliviers,,etablissement wellness Aurensan,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurensan%2BFrance/,https://www.google.com/maps/place/H%C3%B4tel+Minvielle+Les+Oliviers/data=!4m10!3m9!1s0xd561263311ba279:0xf9656279dd7b51fb!5m2!4m1!1i2!8m2!3d43.6273107!4d-0.2591765!16s%2Fg%2F1td_6hnz!19sChIJeaIbMWMSVg0R-1F73XliZfk?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Camping d'Artagnan,4.9,,Camping d'Artagnan,,etablissement wellness Aurensan,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurensan%2BFrance/,https://www.google.com/maps/place/Camping+d%27Artagnan/data=!4m10!3m9!1s0x12a9f9c1b9253c85:0xc0ceeb40ae623680!5m2!4m1!1i2!8m2!3d43.7299643!4d0.0974363!16s%2Fg%2F11fnqlh7gq!19sChIJhTwlucH5qRIRgDZirkDrzsA?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
"Whaka Lodge, luxury camp",4.4,,"Whaka Lodge, luxury camp",,etablissement wellness Aurensan,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurensan%2BFrance/,"https://www.google.com/maps/place/Whaka+Lodge,+luxury+camp/data=!4m10!3m9!1s0x12a99fee16e1401b:0x8575804b56cabc0c!5m2!4m1!1i2!8m2!3d43.4941204!4d0.5797649!16s%2Fg%2F1tkrzm14!19sChIJG0DhFu6fqRIRDLzKVkuAdYU?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1"
Hameau du lac,3.9,,Hameau du lac,,etablissement wellness Aurensan,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurensan%2BFrance/,https://www.google.com/maps/place/Hameau+du+lac/data=!4m7!3m6!1s0x12a9e8857a0bbb43:0xeae72d011083089a!8m2!3d43.5317976!4d0.1582133!16s%2Fg%2F1tf1k_6h!19sChIJQ7sLeoXoqRIRmgiDEAEt5-o?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Domaine Le Poteau,4.8,,Domaine Le Poteau,,etablissement wellness Aurensan,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurensan%2BFrance/,https://www.google.com/maps/place/Domaine+Le+Poteau/data=!4m10!3m9!1s0x12aa0f536b1c58df:0xa806db8bd4ca2d05!5m2!4m1!1i2!8m2!3d43.949491!4d0.076098!16s%2Fg%2F1x5bbfsq!19sChIJ31gca1MPqhIRBS3K1IvbBqg?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
"Camping Le Domaine du Castex: empl. caravane/tente/CC, mobil home, chambres et grand meublé, avec piscine, Gers, Occitanie",4.8,,"Camping Le Domaine du Castex: empl. caravane/tente/CC, mobil home, chambres et grand meublé, avec piscine, Gers, Occitanie",,etablissement wellness Aurensan,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurensan%2BFrance/,"https://www.google.com/maps/place/Camping+Le+Domaine+du+Castex:+empl.+caravane%2Ftente%2FCC,+mobil+home,+chambres+et+grand+meubl%C3%A9,+avec+piscine,+Gers,+Occitanie/data=!4m10!3m9!1s0x12a9823d443700d3:0x9536940fdfcce47e!5m2!4m1!1i2!8m2!3d43.692455!4d0.07478!16s%2Fg%2F1tfd_x4j!19sChIJ0wA3RD2CqRIRfuTM3w-UNpU?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1"
Le Hameau des Genêts,4.6,,Le Hameau des Genêts,,etablissement wellness Aurensan,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurensan%2BFrance/,https://www.google.com/maps/place/Le+Hameau+des+Gen%C3%AAts/data=!4m10!3m9!1s0x12b2230c4014ab05:0xc66161138601c7bc!5m2!4m1!1i2!8m2!3d43.876174!4d2.8341409!16s%2Fg%2F1tg_14z3!19sChIJBasUQAwjshIRvMcBhhNhYcY?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Terres de France - Hameaux des Marines,4.0,,Terres de France - Hameaux des Marines,,etablissement wellness Aurensan,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurensan%2BFrance/,https://www.google.com/maps/place/Terres+de+France+-+Hameaux+des+Marines/data=!4m10!3m9!1s0x4803e50982c5c235:0x7c79a54a41902b36!5m2!4m1!1i2!8m2!3d46.0130767!4d-1.390727!16s%2Fg%2F1tdb3n7z!19sChIJNcLFggnlA0gRNiuQQUqleXw?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
